#,Groupe,Style,Pays,Info Supplémentaire,Url d'écoute,URL pochette
,Kärbholz,Street Punk,Allemagne,,https://www.youtube.com/watch?v=aniigkaU6KQ,https://time-for-metal.eu/wp-content/uploads/2023/04/Kaerbholz-Kapitel-10-Wilde-Augen-Cover.jpg
,Koningsor,Math Metal,USA,,https://silentpendulumrecords.bandcamp.com/album/death-process,https://f4.bcbits.com/img/a3458423315_10.jpg
,Lunar Spells,Black Metal,Grèce,Split avec Order of Nosferat,https://lunarspells.bandcamp.com/,https://f4.bcbits.com/img/a3597791540_10.jpg
,Moral Collapse,Progressive Death,Inde,,https://moralcollapse.bandcamp.com/,https://f4.bcbits.com/img/a0914184962_10.jpg
,Necrofier,Black Metal,USA,,https://www.metalorgie.com/news/168589_Forbidden-Light-Of-The-Black-Moon-est-le-nouveau-clip-de-Necrofier-Black-Metal-US-Burning,https://f4.bcbits.com/img/a0645868593_10.jpg
,Non Serviam,Black / Indus / Experimental,France / Paris,,https://www.metalorgie.com/news/168355_Apocalyptic-Lust-de-Non-Serviam-France-est-la-nouvelle-video-et-nouveau-single-de,https://f4.bcbits.com/img/a4036981857_10.jpg
,Omnium Gatherum,Death Melo,Finlande,Un EP,https://www.metalorgie.com/news/168048_Un-nouveau-titre-et-son-clip-chez-Omnium-Gatherum-avec-Maniac-Slasher-sort-le-2-juin-chez-Century,https://www.metalfrance.net/wp-content/uploads/2023/04/omnium-gatherum-slasher.jpg
,Owls & Eagles,Doom,Canada,,https://youtu.be/gWzcoKPSt2o,https://throneofabsence.files.wordpress.com/2023/01/owlsandeagles.jpg?w=1200
,Project: Roenwolfe,Power / Thrash,USA,,http://projectroenwolfe.bandcamp.com/,https://f4.bcbits.com/img/a1418556562_10.jpg
,Protomartyr,Post Punk,USA,,https://protomartyr.bandcamp.com/album/formal-growth-in-the-desert,https://f4.bcbits.com/img/a3145041336_10.jpg
4,Pupil Slicer,Mathcore,UK,,https://www.metalorgie.com/news/168548_Nouveaux-singles-devoiles-par-Pupil-Slicer-Mathcore-avec-le-double-clip-de-Glaring-Dark-Of,https://f4.bcbits.com/img/a1209968622_10.jpg
